 IPER  ISTEP  TLEN  STAIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER  RBER
 1          1          0.38313807       0                0                0                6.8051329e-05    0                0                0                0                0                0                0                6.8051329e-05    0                0               
 1          2          0.78543304       0                0                0                0.00013481307    0                0                0                0                0                0                0                0.00013481307    0                0               
 1          3          1.2078428        0                0                0                0.00020028629    0                0                0                0                0                0                0                0.00020028629    0                0               
 1          4          1.651373         0                0                0                0.00026448425    0                0                0                0                0                0                0                0.00026448425    1.3552527e-20    0               
 1          5          2.1170797        0                0                0                0.00032743221    0                0                0                0                0                0                0                0.00032743221    2.7105054e-20    8.2780659e-15   
 1          6          2.6060717        0                0                0                0.00038916707    0                0                0                0                0                0                0                0.00038916707    2.7105054e-20    0               
 1          7          3.1195134        0                0                0                0.00044973678    0                0                0                0                0                0                0                0.00044973678    2.7105054e-20    0               
 1          8          3.6586271        0                0                0                0.00050919967    0                0                0                0                0                0                0                0.00050919967    3.3881318e-20    1.064614e-14    
 1          9          4.2246966        0                0                0                0.00056762355    0                0                0                0                0                0                0                0.00056762355    4.0657581e-20    9.5503628e-15   
 1          10         4.8190695        0                0                0                0.00062508478    0                0                0                0                0                0                0                0.00062508478    4.0657581e-20    8.672441e-15    
 1          11         5.443161         0                0                0                0.00068166709    0                0                0                0                0                0                0                0.00068166709    4.0657581e-20    7.9525783e-15   
 1          12         6.0984571        0                0                0                0.00073746045    0                0                0                0                0                0                0                0.00073746045    4.0657581e-20    7.3509174e-15   
 1          13         6.7865181        0                0                0                0.00079255983    0                0                0                0                0                0                0                0.00079255983    4.0657581e-20    6.8398759e-15   
 1          14         7.508982         0                0                0                0.0008470639     0                0                0                0                0                0                0                0.0008470639     4.0657581e-20    6.3997661e-15   
 1          15         8.2675692        0                0                0                0.00090107384    0                0                0                0                0                0                0                0.00090107384    4.0657581e-20    1.2032334e-14   
 1          16         9.0640857        0                0                0                0.00095469206    0                0                0                0                0                0                0                0.00095469206    4.0657581e-20    1.1356564e-14   
 1          17         9.9004281        0                0                0                0.0010080212     0                0                0                0                0                0                0                0.0010080212     4.0657581e-20    1.0755748e-14   
 1          18         10.778588        0                0                0                0.0010611628     0                0                0                0                0                0                0                0.0010611628     3.3881318e-20    1.0217115e-14   
 1          19         11.700655        0                0                0                0.0011142168     0                0                0                0                0                0                0                0.0011142168     3.3881318e-20    9.7306211e-15   
 1          20         12.668826        0                0                0                0.0011672806     0                0                0                0                0                0                0                0.0011672806     3.3881318e-20    9.288274e-15    
 1          21         13.685405        0                0                0                0.0012204482     0                0                0                0                0                0                0                0.0012204482     3.3881318e-20    8.8836398e-15   
 1          22         14.752814        0                0                0                0.00127381       0                0                0                0                0                0                0                0.00127381       3.3881318e-20    8.5114903e-15   
 1          23         15.873592        0                0                0                0.0013274527     0                0                0                0                0                0                0                0.0013274527     2.7105054e-20    8.1675389e-15   
 1          24         17.05041         0                0                0                0.0013814586     0                0                0                0                0                0                0                0.0013814586     2.0328791e-20    7.8482424e-15   
 1          25         18.286069        0                0                0                0.0014359058     0                0                0                0                0                0                0                0.0014359058     2.0328791e-20    7.5506499e-15   
 1          26         19.58351         0                0                0                0.0014908684     0                0                0                0                0                0                0                0.0014908684     2.0328791e-20    7.2722862e-15   
 1          27         20.945824        0                0                0                0.0015464167     0                0                0                0                0                0                0                0.0015464167     2.0328791e-20    7.0110609e-15   
 1          28         22.376253        0                0                0                0.0016026172     0                0                0                0                0                0                0                0.0016026172     2.0328791e-20    6.7651975e-15   
 1          29         23.878204        0                0                0                0.001659533      0                0                0                0                0                0                0                0.001659533      2.0328791e-20    6.5331764e-15   
 1          30         25.455252        0                0                0                0.0017172243     0                0                0                0                0                0                0                0.0017172243     2.0328791e-20    6.3136901e-15   
 1          31         27.111152        0                0                0                0.0017757484     0                0                0                0                0                0                0                0.0017757484     2.0328791e-20    6.1056068e-15   
 1          32         28.849848        0                0                0                0.0018351607     0                0                0                0                0                0                0                0.0018351607     2.0328791e-20    5.9079412e-15   
 1          33         30.675479        0                0                0                0.0018955143     0                0                0                0                0                0                0                0.0018955143     3.3881318e-20    5.719831e-15    
 1          34         32.592391        0                0                0                0.0019568608     0                0                0                0                0                0                0                0.0019568608     3.3881318e-20    1.1081035e-14   
 1          35         34.605148        0                0                0                0.0020192504     0                0                0                0                0                0                0                0.0020192504     3.3881318e-20    1.073866e-14    
 1          36         36.718544        0                0                0                0.0020827323     0                0                0                0                0                0                0                0.0020827323     4.7433845e-20    1.0411344e-14   
