 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          1                6.8051329e-05    499              499              3.8754402e-08   
 1          2          0.78543304       1          1          1          2          1                0.00013481307    499              499              3.6747111e-08   
 1          3          1.2078428        1          1          1          2          1                0.00020028629    499              499              3.4292887e-08   
 1          4          1.651373         1          1          1          2          1                0.00026448425    499              499              3.1890335e-08   
 1          5          2.1170797        1          1          1          2          1                0.00032743221    499              499              2.9542116e-08   
 1          6          2.6060717        1          1          1          2          1                0.00038916707    499              499              2.7440576e-08   
 1          7          3.1195134        1          1          1          2          1                0.00044973678    499              499              2.5460666e-08   
 1          8          3.6586271        1          1          1          2          1                0.00050919967    499              499              2.3693729e-08   
 1          9          4.2246966        1          1          1          2          0.99999999       0.00056762355    499              499              2.2095032e-08   
 1          10         4.8190695        1          1          1          2          0.99999999       0.00062508478    499              499              2.0650244e-08   
 1          11         5.443161         1          1          1          2          0.99999997       0.00068166709    499              499              1.936852e-08    
 1          12         6.0984571        1          1          1          2          0.99999994       0.00073746045    499              499              1.8226467e-08   
 1          13         6.7865181        1          1          1          2          0.99999988       0.00079255983    499              499              1.7182787e-08   
 1          14         7.508982         1          1          1          2          0.99999978       0.0008470639     499              499              1.6218831e-08   
 1          15         8.2675692        1          1          1          2          0.99999959       0.00090107384    499              499              1.5355755e-08   
 1          16         9.0640857        1          1          1          2          0.99999925       0.00095469206    499              499              1.4588461e-08   
 1          17         9.9004281        1          1          1          2          0.99999869       0.0010080212     499              499              1.3870828e-08   
 1          18         10.778588        1          1          1          2          0.99999777       0.0010611628     499              499              1.3230336e-08   
 1          19         11.700655        1          1          1          2          0.99999627       0.0011142168     499              499              1.2617969e-08   
 1          20         12.668826        1          1          1          2          0.99999391       0.0011672806     499.00001        499.00001        7.0964164e-07   
 1          21         13.685405        1          1          1          2          0.99999024       0.0012204482     499.00001        499.00001        1.1467033e-06   
 1          22         14.752814        1          1          1          2          0.99998465       0.00127381       499.00002        499.00002        1.385093e-06    
 1          23         15.873592        1          1          1          2          0.99997628       0.0013274527     499.00002        499.00002        1.4720483e-06   
 1          24         17.05041         1          1          1          2          0.99996395       0.0013814586     499.00004        499.00004        1.4440444e-06   
 1          25         18.286069        1          1          1          2          0.99994607       0.0014359058     499.00005        499.00005        1.329333e-06    
 1          26         19.58351         1          1          1          2          0.99992053       0.0014908684     499.00008        499.00008        1.149783e-06    
 1          27         20.945824        1          1          1          2          0.99988456       0.0015464167     499.00012        499.00012        9.2237642e-07   
 1          28         22.376253        1          1          1          2          0.99983461       0.0016026172     499.00017        499.00017        6.6022674e-07   
 1          29         23.878204        1          1          1          2          0.99976613       0.001659533      499.00023        499.00023        3.734541e-07    
 1          30         25.455252        1          1          1          2          0.99967345       0.0017172243     499.00033        499.00033        3.608903e-07    
 1          31         27.111152        1          1          1          2          0.99954955       0.0017757484     499.00045        499.00045        3.4898753e-07   
 1          32         28.849848        1          1          1          2          0.99938587       0.0018351607     499.00061        499.00061        3.3768148e-07   
