time,H1_1_2
0.3831380695111,0.8904943341E-13
0.7854330424977,0.8340313314E-13
1.207842764134,0.7806233663E-13
1.651372971851,0.7302819552E-13
2.117079689955,0.6829954639E-13
2.606071743964,0.6387297305E-13
3.119513400673,0.5974291077E-13
3.658627140218,0.5590179029E-13
4.224696566740,0.5234021825E-13
4.819069464588,0.4904718952E-13
5.443161007328,0.4601032568E-13
6.098457127206,0.4321613291E-13
6.786518053077,0.4065014364E-13
7.508982025242,0.3829773708E-13
8.267569196015,0.3614352062E-13
9.064085725327,0.3417222708E-13
9.900428081105,0.3236877399E-13
10.77858755467,0.3071847309E-13
11.70065500192,0.2920721033E-13
12.66882582152,0.2782159297E-13
13.68540518211,0.2654906262E-13
14.75281351073,0.2537797399E-13
15.87359225577,0.2429764098E-13
17.05040993807,0.2329835266E-13
18.28606850449,0.2237136303E-13
19.58350999922,0.2150885860E-13
20.94582356870,0.2070390877E-13
22.37625281664,0.1995040357E-13
23.87820352698,0.1924298330E-13
25.45525177285,0.1857696415E-13
27.11115243100,0.1794826333E-13
28.84984812206,0.1735332630E-13
30.67547859767,0.1678905839E-13
32.59239059707,0.1625276199E-13
34.60514819643,0.1574208028E-13
36.71854367577,0.1525494757E-13
38.93760892907,0.1478954633E-13
41.26762744503,0.1434427036E-13
43.71414688679,0.1391769358E-13
46.28299230064,0.1350854382E-13
48.98027998519,0.1311568078E-13
51.81243205396,0.1273807768E-13
54.78619172617,0.1237480581E-13
57.90863938198,0.1202502156E-13
61.18720942059,0.1168795541E-13
64.62970796114,0.1136290244E-13
68.24433142870,0.1104921411E-13
72.03968606965,0.1074629099E-13
76.02480844264,0.1045357614E-13
80.20918693429,0.1017054912E-13
84.60278435051,0.9896720280E-14
89.21606163755,0.9631625383E-14
94.06000278894,0.9374820436E-14
99.14614099789,0.9125876680E-14
104.4865861173,0.8884375794E-14
110.0940534927,0.8649905357E-14
115.9818942368,0.8422054658E-14
122.1641270182,0.8200410986E-14
128.6554714386,0.7984556553E-14
135.4713830800,0.7774066211E-14
142.6280903035,0.7568506115E-14
150.1426328882,0.7367433470E-14
158.0329026022,0.7170397468E-14
166.3176858018,0.6976941453E-14
175.0167081614,0.6786606318E-14
184.1506816390,0.6598935035E-14
193.7413537904,0.6413478204E-14
203.8115595494,0.6229800382E-14
214.3852755964,0.6047486975E-14
225.4876774458,0.5866151360E-14
237.1451993876,0.5685441976E-14
249.3855974265,0.5505049046E-14
262.2380153673,0.5324710657E-14
275.7330542052,0.5144217964E-14
289.9028449849,0.4963419298E-14
304.7811253037,0.4782223072E-14
320.4033196384,0.4600599379E-14
336.8066236898,0.4418580291E-14
354.0300929438,0.4236258900E-14
372.1147356605,0.4053787178E-14
391.1036105131,0.3871372793E-14
411.0419291082,0.3689275031E-14
431.9771636331,0.3507799964E-14
453.9591598843,0.3327295039E-14
477.0402559480,0.3148143221E-14
501.2754068149,0.2970756814E-14
526.7223152252,0.2795571079E-14
553.4415690560,0.2623037705E-14
581.4967855783,0.2453618233E-14
610.9547629267,0.2287777442E-14
641.8856391426,0.2125976778E-14
674.3630591692,0.1968667822E-14
708.4643501972,0.1816285871E-14
744.2707057765,0.1669243665E-14
781.8673791349,0.1527925323E-14
821.3438861611,0.1392680558E-14
862.7942185387,0.1263819280E-14
906.3170675351,0.1141606659E-14
952.0160589814,0.1026258784E-14
1000.000000000,0.9179390190E-15
