 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  1.08922639e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.08922639e-02  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -2.17845278e-02  0.00000000e+00   0.00000000e+00   2.17845278e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  1.08922639e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.08922639e-02  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  8.95329455e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.95329455e-03  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -1.79065891e-02  0.00000000e+00   0.00000000e+00   1.79065891e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          -0.00000000e+00  8.95329455e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.95329455e-03  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  7.63158490e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.63158490e-03  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -1.52631698e-02  0.00000000e+00   0.00000000e+00   1.52631698e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          -0.00000000e+00  7.63158490e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.63158490e-03  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  6.70009813e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.70009813e-03  0.00000000e+00  
 1          4          0.44353021       1          1          2          -0.00000000e+00  -1.34001963e-02  0.00000000e+00   0.00000000e+00   1.34001963e-02   0.00000000e+00   0.00000000e+00   -1.53880453e-18 
 1          4          0.44353021       1          1          3          -0.00000000e+00  6.70009813e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.70009813e-03  0.00000000e+00  
 1          5          0.46570672       1          1          1          -0.00000000e+00  6.02737586e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.02737586e-03  0.00000000e+00  
 1          5          0.46570672       1          1          2          -0.00000000e+00  -1.20547517e-02  0.00000000e+00   0.00000000e+00   1.20547517e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          -0.00000000e+00  6.02737586e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.02737586e-03  0.00000000e+00  
 1          6          0.48899205       1          1          1          -0.00000000e+00  5.53290575e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.53290575e-03  0.00000000e+00  
 1          6          0.48899205       1          1          2          -0.00000000e+00  -1.10658115e-02  0.00000000e+00   0.00000000e+00   1.10658115e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          3          -0.00000000e+00  5.53290575e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.53290575e-03  0.00000000e+00  
 1          7          0.51344166       1          1          1          -0.00000000e+00  5.16512211e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.16512211e-03  0.00000000e+00  
 1          7          0.51344166       1          1          2          -0.00000000e+00  -1.03302442e-02  0.00000000e+00   0.00000000e+00   1.03302442e-02   0.00000000e+00   0.00000000e+00   1.78135859e-18  
 1          7          0.51344166       1          1          3          -0.00000000e+00  5.16512211e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.16512211e-03  0.00000000e+00  
 1          8          0.53911374       1          1          1          -0.00000000e+00  4.88958536e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.88958536e-03  0.00000000e+00  
 1          8          0.53911374       1          1          2          -0.00000000e+00  -9.77917072e-03  0.00000000e+00   0.00000000e+00   9.77917072e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          3          -0.00000000e+00  4.88958536e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.88958536e-03  0.00000000e+00  
 1          9          0.56606943       1          1          1          -0.00000000e+00  4.68277440e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.68277440e-03  0.00000000e+00  
 1          9          0.56606943       1          1          2          -0.00000000e+00  -9.36554881e-03  0.00000000e+00   0.00000000e+00   9.36554881e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          3          -0.00000000e+00  4.68277440e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.68277440e-03  0.00000000e+00  
 1          10         0.59437290       1          1          1          -0.00000000e+00  4.52805670e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.52805670e-03  0.00000000e+00  
