 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0                0.021784528      0                0                0                0                0                0                0                0                0                0.021784528      0               
 1          2          0.78543304       1          0                0                0                0                0                0.039691117      0                0                0                0                0                0                0                0                0                0.039691117      0               
 1          3          1.2078428        1          0                0                0                0                0                0.054954287      0                0                0                0                0                0                0                0                0                0.054954287      0               
 1          4          1.651373         1          0                0                0                0                0                0.068354483      0                0                0                0                0                0                0                0                0                0.068354483      -1.7347235e-18  
 1          5          2.1170797        1          0                0                0                0                0                0.080409235      0                0                0                0                0                0                0                0                0                0.080409235      -1.7347235e-18  
 1          6          2.6060717        1          0                0                0                0                0                0.091475046      0                0                0                0                0                0                0                0                0                0.091475046      -1.7347235e-18  
 1          7          3.1195134        1          0                0                0                0                0                0.10180529       0                0                0                0                0                0                0                0                0                0.10180529       0               
 1          8          3.6586271        1          0                0                0                0                0                0.11158446       0                0                0                0                0                0                0                0                0                0.11158446       0               
 1          9          4.2246966        1          0                0                0                0                0                0.12095001       0                0                0                0                0                0                0                0                0                0.12095001       0               
 1          10         4.8190695        1          0                0                0                0                0                0.13000612       0                0                0                0                0                0                0                0                0                0.13000612       0               
 1          11         5.443161         1          0                0                0                0                0                0.13883305       0                0                0                0                0                0                0                0                0                0.13883305       0               
 1          12         6.0984571        1          0                0                0                0                0                0.14749354       0                0                0                0                0                0                0                0                0                0.14749354       0               
 1          13         6.7865181        1          0                0                0                0                0                0.15603732       0                0                0                0                0                0                0                0                0                0.15603732       0               
 1          14         7.508982         1          0                0                0                0                0                0.16450442       0                0                0                0                0                0                0                0                0                0.16450442       0               
 1          15         8.2675692        1          0                0                0                0                0                0.17292749       0                0                0                0                0                0                0                0                0                0.17292749       0               
 1          16         9.0640857        1          0                0                0                0                0                0.18133356       0                0                0                0                0                0                0                0                0                0.18133356       1.7347235e-18   
 1          17         9.9004281        1          0                0                0                0                0                0.18974538       0                0                0                0                0                0                0                0                0                0.18974538       1.7347235e-18   
 1          18         10.778588        1          0                0                0                0                0                0.19818236       0                0                0                0                0                0                0                0                0                0.19818236       3.469447e-18    
 1          19         11.700655        1          0                0                0                0                0                0.20666134       0                0                0                0                0                0                0                0                0                0.20666134       3.469447e-18    
 1          20         12.668826        1          0                0                0                0                0                0.21519715       0                0                0                0                0                0                0                0                0                0.21519715       3.469447e-18    
 1          21         13.685405        1          0                0                0                0                0                0.22380305       0                0                0                0                0                0                0                0                0                0.22380305       3.469447e-18    
 1          22         14.752814        1          0                0                0                0                0                0.23249105       0                0                0                0                0                0                0                0                0                0.23249105       3.469447e-18    
