 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          1          0.38313807       1          1          1          2          1          0.52032222       43.972153        0.44366458       9.366529e-05     1.1206872e-05    0.011206872     
 1          1          0.38313807       1          1          1          2          2          0.52624474       44.98783         0.44992575       9.9923525e-05    1.1092849e-05    0.011092849     
 1          1          0.38313807       1          1          1          2          3          0.52631493       44.999852        0.4499991        9.999907e-05     1.1078732e-05    0.011078732     
 1          1          0.38313807       1          1          1          2          4          0.52631578       44.999998        0.44999999       9.9999989e-05    1.1065813e-05    0.011065813     
 1          1          0.38313807       1          1          1          2          5          0.52631579       45               0.45             0.0001           1.1052938e-05    0.011052938     
 1          1          0.38313807       1          1          1          2          6          0.52631579       45               0.45             0.0001           1.1040093e-05    0.011040093     
 1          1          0.38313807       1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027278e-05    0.011027278     
 1          1          0.38313807       1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          1          0.38313807       1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001737e-05    0.011001737     
 1          1          0.38313807       1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989011e-05    0.010989011     
 1          1          0.38313807       1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976314e-05    0.010976314     
 1          1          0.38313807       1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          1          0.38313807       1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          1          0.38313807       1          1          1          2          14         0.52631579       45               0.45             0.0001           1.09384e-05      0.0109384       
 1          1          0.38313807       1          1          1          2          15         0.52631579       45               0.45             0.0001           1.0925819e-05    0.010925819     
 1          1          0.38313807       1          1          1          2          16         0.52631578       44.999998        0.44999999       9.9999988e-05    1.0913268e-05    0.010913268     
 1          1          0.38313807       1          1          1          2          17         0.52631489       44.999844        0.44999906       9.9999034e-05    1.0900761e-05    0.010900761     
 1          1          0.38313807       1          1          1          2          18         0.52624333       44.987356        0.44992427       9.9922005e-05    1.0889452e-05    0.010889452     
 1          1          0.38313807       1          1          1          2          19         0.52032633       43.951261        0.44366896       9.3669544e-05    1.0976013e-05    0.010976013     
 1          2          0.78543304       1          1          1          2          1          0.51456439       42.982561        0.43743934       8.7801643e-05    1.1307403e-05    0.011307403     
 1          2          0.78543304       1          1          1          2          2          0.52610429       44.963768        0.44977889       9.9772433e-05    1.1095217e-05    0.011095217     
 1          2          0.78543304       1          1          1          2          3          0.52631225       44.999393        0.4499963        9.999619e-05     1.1078777e-05    0.011078777     
 1          2          0.78543304       1          1          1          2          4          0.52631573       44.99999         0.44999994       9.999994e-05     1.1065813e-05    0.011065813     
 1          2          0.78543304       1          1          1          2          5          0.52631579       45               0.45             9.9999999e-05    1.1052938e-05    0.011052938     
 1          2          0.78543304       1          1          1          2          6          0.52631579       45               0.45             0.0001           1.1040093e-05    0.011040093     
 1          2          0.78543304       1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027278e-05    0.011027278     
 1          2          0.78543304       1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          2          0.78543304       1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001737e-05    0.011001737     
 1          2          0.78543304       1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989011e-05    0.010989011     
 1          2          0.78543304       1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976314e-05    0.010976314     
 1          2          0.78543304       1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          2          0.78543304       1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          2          0.78543304       1          1          1          2          14         0.52631579       45               0.45             0.0001           1.09384e-05      0.0109384       
 1          2          0.78543304       1          1          1          2          15         0.52631579       45               0.45             9.9999999e-05    1.092582e-05     0.01092582      
 1          2          0.78543304       1          1          1          2          16         0.52631573       44.99999         0.44999994       9.9999937e-05    1.0913269e-05    0.010913269     
 1          2          0.78543304       1          1          1          2          17         0.52631212       44.99936         0.44999616       9.9996044e-05    1.0900807e-05    0.010900807     
 1          2          0.78543304       1          1          1          2          18         0.52610016       44.962371        0.44977458       9.9767994e-05    1.0891825e-05    0.010891825     
